Name,,robot type,category,full head,screen type,mouth,nose,eyebrows,cheeks (blush),hair,ears,physical features,robot height,embodiment,face color,face turns other colors,face gradient to,face shape,screen size,head motion,face motion,info display,eye color,eye outline color,eye turns other colors (inside),eye shape,eye turns other shapes (exclude blink),pupil (y/n),pupil color,lid,lid color,iris,iris color,lashes color,lash shape,reflected glare color,# glare circles,blink type,"pupil
shapes",eye motion,"pupil and/or
iris motion",glare motion,wink,eye size,eye placement,eye spacing,mouth color (or outline color),mouth inside color,mouth shape,lips,tongue,teeth shape,mouth motion,mouth length,mouth placement,nose color,nose shape,nose 3d,nose size,nose placement,nose motion,eyebrow color,eyebrow shape,eyebrow inner edge positions,eyebrow independent motion,eyebrow motion,eyebrow length,eyebrow arch,cheek color,cheek shape,cheek size,cheek placement,cheek spacing,hair color,country/region of origin,year
Vanessa,7,humanoid,service,y,smart,y,y,y,y,y,y,x,low,on mobile platform,beige,x,x,human,small,y,ud,"smart, toolbar[top]",white,black,x,human eye,x,y,black,y,beige,y,blue,black,human,white,1,lid down,circle,none,none,none,no data,small,raise,close,pink,black,human,pink,x,human,"height, width",short,low,beige,human,y,med,cen,none,black,arched (center),"down, flat",x,none,med,med,pink,3D,large,cen,close,black,Russia,2010
EDGAR,8,humanoid,research,y,back,y,y,y,y,y,y,x,high,torso (on platform),beige,white,x,human,small,"x,y,z",none,x,brown,x,x,human eye,x,y,no data,y,beige,no data,no data,no data,no data,no data,no data,lid down,circle,none,no data,no data,x,small,raise,medium,beige,black,human,beige,no data ,human,"width, height",med,down,beige,human,y,large,down,none,brown,arched (center),down,x,ud,med,small,beige,3D,large,up,wide,brown,Singapore,2014
FURo-S,8,humanoid,service,y,blcd,y,y,y,y,y,x,ears,high,full robot body,beige,x,x,rounded rectangle - vert,med,"x, y, vx, vy, vz",none,chest,white,black,x,human eye,x,y,black,y,brown,y,hazel,brown,human,white,1,lid down,circle,none,"lr, ud",none,x,pro,cen,medium,brown,black,"crescent, pucker lips",pink,x,single rect,"height, width",med,cen,beige,rounded pyramid,y,med,cen,none,brown,arched (center),down,y,ud,med,small,pink,blush,x,cen,wide,brown,Korea,2015
FURo-D,9,humanoid,service,y,blcd,y,y,y,y,y,x,ears,high,full robot body,beige,x,x,rounded rectangle - vert,med,"x, y, vx, vy, vz",none,chest,white,black,x,human eye,x,y,black,y,brown,y,hazel,brown,human,x,x,lid down,circle,none,"lr, ud",none,x,pro,cen,medium,brown,black,"crescent, pucker lips",pink,x,single rect,"width, height",med,cen,beige,rounded pyramid,y,med,cen,none,brown,arched (center),down,y,ud,med,small,pink,blush,,cen,wide,brown,Korea,2015
SociBot,9,humanoid,entertainment,y,back,y,y,y,y,x,x,ears,high,on mobile platform,beige,y,x,human,small,"x, y, z",none,x,white,x,x,human eye,other h. eye shapes,y,black,y,beige,y,"blue, various",black,human,x,x,lid down,circle,none,"up, lr",none,y,pro,raise,medium,pink,dark red,human,pink,pink,human,"height, width",med,down,beige,human,y,small,cen,none,brown,human,"down, flat",y,ud,long,small,peach,3D,med,cen,cen,x,UK,2012
Valerie the Roboceptionist,8,humanoid,research,y,blcd,y,y,y,y,y,y,x,med,on mobile platform,beige,x,x,human,med,none,"ud, lr",x,white,black,x,human eye,other h. eye shapes,y,black,y,pink,y,blue,black,human,white,1,no data,circle,none,"lr, ud",none,x,small,raise,wide,red,black,human,red,x,human,"height, width",med,down,beige,human,y,med,cen,none,brown,arched (outer edge),"down, flat",x,"ud, flatten",med,small,peach,3D,small,cen,wide,brown,USA,2004
Dual Display Kiosk,11,humanoid,service,x,blcd,y,y,y,y,y,x,x,med,upright stationary rectangle,beige,x,x,rectangle - horiz,med,none,none,text[below],white,x,x,vert oval,x,y,black,y,pink,y,brown,black,line,white,1,bottom lid wipe up,circle,none,none,none,x,small,raise,close,pink,red,open,dark pink,x,rect,"width, height, z",long,down,beige,oval,y,large,up,"height, width",black,long teardrop,"up, vert",x,"flip, ud",long,small,pink,blush,small,up,wide,yellow,Japan,2010
Vikia,12,humanoid,research,y,blcd,y,y,y,y,y,y,x,high,upright mobile cylinder,beige,x,x,human,med,"vx,vy",none,x,white,x,x,human eye,other h. eye shapes,y,black,y,pink/tan,y,blue,x,x,x,x,lid down,circle,none,none,none,y,pro,raise,wide,red,black,human,red,x,human,height,med,down,beige,human,y,large,up,none,brown,arched (center),flat,x,none,med,small,pink/tan,3D,med,cen,cen,brown,USA,2006
EMC,13,humanoid,research,y,blcd,y,y,y,y,y,y,x,low,screen (on mobile platform),beige,x,x,human,large,none,none,dis,white,x,x,human eye,x,y,black,y,beige,x,x,x,x,white,1,x,circle,none,none,none,x,small,raise,medium,red,black,human,y,no data ,rect,"width, height",med,down,beige,human,y,large,up,height,brown,arched (inside edge),flat,x,"ud, flatten/arch",med,small,beige,3D,large,up,wide,brown,Canada,2008
IURO/Furhat,13,humanoid,research,y,back,y,y,y,y,x,x,x,ground,tabletop,yellow,x,pale yellow,human,large,y,none,x,white,x,x,human eye,x,y,black,y,pale yellow,y,turquoise,x,x,light blue,N/A,lid down,circle,height,"lr, ud",N/A,N/A,small,up,medium,red,black,"crescent, pucker lips",red,x,single rect,height,med,down,yellow,rounded pyramid,y,large,up,none,brown,arched (center),"down, flat, up",x,ud,long,small,yellow,3D,med,down,cen,x,Sweden,2016
Victor,13,humanoid,research,y,blcd,y,y,y,y,y,x,x,med,upright stationary cylinder,yellow,x,x,human,small,"x,y,z",none,x,white,x,x,human eye,x,y,black,y,yellow,y,gray,x,x,x,x,lid down,circle,none,"lr, ud",none,,pro,up,medium,yellow,black,human,yellow,x,human,"height, width",long,down,yellow,human,y,large,up,none,pale yellow,arched (center),"down, flat, up",y,arch,long,small,yellow,3D,med,cen,wide,beige,USA,2014
RobotBase (Maya),14,humanoid,home,y,blcd,y,y,y,x,y,x,x,low,upright mobile pole,beige,x,x,ellipse - vert,med,none,none,"icon, dis, tele",white,x,no data,human eye,squint,y,black,y,beige,y,blue,black,line,white,1,lid down,circle,"lr, ud, lid height",none,none,x,pro,raise,wide,red,white,crescent,red,x,single rect,height,med,down,beige,rounded pyramid,y,small,cen,ud,brown,arched (outer edge),flat,x,ud,med,small,x,x,x,x,x,beige,USA,2015
Tim-E,14,humanoid,home,x,smart,y,y,y,y,x,x,x,ground,tabletop,blue,x,x,square,med,z,"ud, lr",dis,white,x,x,human eye,x,y,black,y,blue,y,blue,x,x,white,2,lid down,circle,height,lr,none,x,pro,raise,medium,blue,red,human,blue,red,human,"height, width",med,cen,blue,human,y,small,cen,none,black,line,"down, flat, up",y,"ud, flip, flatten",med,x,light blue,3D,small,cen,cen,x,USA,2017
Robelf,15,humanoid,home,x,touch,y,y,y,y,x,x,x,med,full robot body,yellow,x,x,rectangle - horiz,med,"x, y",none,dis,green,white,x,circle,x,y,black,y,yellow,y,hazel,white,line,white,2,lid down,circle,height,"resize, lr, ud",none,x,dom,up,wide,brown,black,line,brown,x,x,"height, shape",long,down,gold,circle,x,small,cen,none,brown,bracket,up,x,ud,med,med,tan,x,med,down,wide,x,Taiwan,2016
Zenbo,15,humanoid,home,x,smart,y,x,y,y,x,x,x,ground,upright mobile sphere,blue,red,black,ellipse - horiz,med,"x, y",none,"dis, IF",gray,black, x,circle,x,y,black,y,blue,y,blue,white and blue,semicircle around eye,white,2,lid down,circle,ud,"lr, ud",none,y,dom,up,medium,light blue,red,crescent,blue,x,x,resize,med,down,x,x,x,x,x,none,white,half circle,"up, down",x,ud,short,small,red,crescent,small,up,cen,x,Taiwan,2016
Tyche (1),16,humanoid,home,y,smart,y,x,y,y,y,x,x,ground,on mobile platform,beige,x,x,human,med,none,ud,"smart, dis, corner [on bottom], IF, dialog",white,black,x,human eye,x,y,black,y,beige,y,blue,black,line with 3 vert lines,white,1,lid down,circle,resize,none,none,y,pro,cen,wide,black,pink,smile,x,x,x,"height, width",med,down,x,x,x,x,x,none,black,arched (center),"down, flat",x,"dist, arch",short,small,beige,human,med,cen,cen,yellow,Korea,2014
Mr Personality - Max,18,humanoid,entertainment,x,blcd,y,y,y,x,x,x,x,ground,full robot body,yellow,x,x,rectangle - vert,small,"x, y",no data,dis,white,black,x,vert oval,circle,y,black,y,gray,y,blue,x,x,white,2,lid wipe center,circle,none,"lr, ud, resize",none,y,small,up,close,black,black,crescent,yellow,red,rect,none,long,down,black,triangle,x,med,down,none,black,upsidedown arched (center),"vert, up, down, flat",y,"ud, flip",med,x,x,x,x,x,x,x,Hong-Kong,2008
Buddy,20,humanoid,home,x,touch,y,x,y,y,x,x,x,ground,upright mobile cylinder,white,x,x,oval - horiz,med,"x,y,z",ud,"dis, toolbar [left], corner, speech [top], button [top right]",black,black,x,circle,x,y,white,y,white,x,x,black,line and dot,white,2,lid down,circle,"ud, lr, height","lr, ud",z,y,pro,raise,wide,black,various,smile,x,various,x,"width, height,
resize",short,cen,x,x,x,x,x,none,white,arched (outer edge),"down, flat, up",x,"ud, lr",med,large,various,oval,small,up,wide,x,France,2015
Datouxiaofan,21,humanoid,home,x,blcd,y,x,y,y,x,x,x,ground,tabletop - mobile,white,x,x,rectangle - horiz,small,no data,none,x,yellow,pink,x,circle,x,y,black,y,white,x,x,black,crescent,white,2,slit,circle,none,none,"lr, ud",x,pro,cen,medium,black,pink,crescent,x,pink,single rect,"teeth ud, resize, app/dis",short,down,x,x,x,x,x,none,black,arched (center),down,x,ud,short,small,pink,oval,small,up,wide,x,China,2015
lightface,21,humanoid,research,y,back,y,y,y,x,x,x,x,high,tabletop,beige,x,x,human,large,no data,no data,x,white,x,no data,human eye,x,y,black,y,beige,y,green,x,x,x,x,no data,circle,no data,no data,no data,no data,pro,cen,medium,beige,x,"crescent, pucker lips",no data,x,x,none,short,cen,beige,rounded pyramid,y,small,cen,none,brown,arched (inside edge),flat,x,no data,med,large,x,3D,med,x,x,x,England,2011
maskbot 1,21,humanoid,research,y,back,y,y,y,y,x,x,x,ground,tabletop,beige,x,x,human,large,"x,y,z",no data,x,white,x,x,human eye,x,y,black,y,pink,no data,no data,x,x,x,x,lid down,circle,none,none,none,x,pro,raise,medium,red,black,"crescent, pucker lips",red,x,x,"height, width",med,down,pink,rounded triangle,y,large,up,none,brown,x,"down, flat, up",x,none,long,x,pink/beige,3D,x,down,cen,x,Germany,2011
emotional/PIL head robot,22,humanoid,research,y,blcd,y,y,y,y,y,x,x,ground,tabletop,beige,x,x,human,med,none,no data,x,white,x,x,human eye,x,y,black,y,beige,x,x,x,x,x,x,no data,circle,none,none,none,no data,small,raise,medium,pink,black,human,pink,x,x,width,med,down,beige,human,y,large,cen,none,brown,arched (center),flat,x,"twist, arch",long,small,x,x,x,x,x,brown,Korea,2007
Kikoo,22,humanoid,educational,x,blcd,y,x,y,x,x,x,x,low,upright mobile spheroid,blue,no data,black,ellipse - horiz,med,no data,no data,x,white,blue,no data,circle,x,y,black,no data,no data,y,gray,x,x,white,2,no data,circle,no data,no data,no data,no data,pro,cen,medium,red,dark red,bumpy crescent,blue,red,x,no data,short,down,x,x,x,x,x,none,white,arched (center),flat,no data,no data,short,large,x,x,x,x,x,x,China,2017
Tech pet,22,zoomorphic,entertainment,x,smart,y,y,x,x,x,x,ears,ground,on mobile dog body,blue,x,white,rectangle - vert,med,z,none,"smart, dis, IF",white,black,x,vert oval,horiz oval,y,black,y,white,y,blue,x,x,x,x,><,vert oval,ud,none,none,x,pro,up,medium,black,red,bumpy crescent,black,x,x,ud,med,down,black,rounded triangle,x,small,cen,ud,black,arched (center),"flat, up",x,"flip, ud",med,large,x,x,x,x,x,x,Japan,2012
I-Eng,23,zoomorphic,entertainment,x,blcd,y,y,y,x,x,x,ears,ground,full robot body (fur),black,x,x,bean-shaped,small,none,none,x,white,blue,x,circle,"semicircle, crescent, angle bracket",y,black,y,black,y,blue,x,x,white,1,x,circle,"ud, resize, z",app/dis,none,x,pro,cen,wide,red,red,smile,x,x,x,"lr, ud, resize",short,down,blue,rounded triangle,x,small,cen,"ud, resize",blue,dots,up,x,"ud, lr",short,small,x,x,x,x,x,x,Korea,2015
Rubi-5,23,humanoid,educational,x,touch,y,y,y,x,x,x,ears,low,mobile platform,yellow,x,darker yellow,rectangle - horiz,small,"x, y, z",none,chest,white,x,x,circle,x,y,black,y,pink,x,x,x,x,x,x,lid down,circle,"lr, ud","lr, ud",none,x,pro,raise,wide,red,white,line,red,x,crescent,resize,med,cen,pink,circle,x,small,down,none,brown,arched (center),"down, flat, up",y,"resize, ud, 
dist",med,large,x,x,x,x,x,x,USA,2014
Shanghai Jinghong,25,humanoid,service,x,blcd,y,x,x,y,x,x,ears,high,full robot body,white,no data,x,hor rectangle with indent,small,no data,no data,x,pink,black,no data,vert oval,no data,y,black,x,x,y,pink,black,line w/ 2 dashes,white,4,no data,vert oval,no data,no data,no data,no data,pro,raise,wide,gray,no data,rectangle,x,x,x,no data,short,down,x,x,x,x,x,x,x,x,x,x,none,x,x,pink,oval,med,up,wide,x,China,no data
Cally,26,mechanical,research,x,blcd,y,x,y,y,x,x,x,ground,full robot body,black,x,x,rectangle - vert,small,"x,z",none,smart,black,white,x,vert rounded rect,"circle, semicircle, plus sign",y,white,x,x,x,x,x,x,x,x,x,oval,"resize, height","lr, ud, height, app/dis",none,y,pro,up,close,white,black,smile,white,x,x,"ud, lr, width, 
app/dis",med,cen,x,x,x,x,x,none,white,arched (center),"down, flat, up",y,"app/dis, flip",med,small,pink,single rect filled w vert lines,large,cen,x,x,Canada,2009
ibotn (1),26,humanoid,home,x,blcd,y,x,x,y,x,x,x,ground,upright mobile sphere,white,x,x,oval - horiz,small,none,none,"dis, text, icons, tele",brown,black,x,circle,"angled bracket
",y,black,x,x,y,brown,x,x,white,3,lid down,circle,none,none,none,no data,pro,raise,wide,black,pink,smile,x,x,x,"change shape, width, height, resize",short,cen,x,x,x,x,x,none,x,x,x,x,"app/dis, flip",short,small,pink,oval,small,up,wide,x,China,2017
Oddwerx (Ike),27,mechanical,entertainment,x,smart,y,x,y,x,x,x,x,ground,tabletop mobile,blue,x,dark blue,rectangle - vert,large,none,"ud, lr",icon,blue,white,"orange, green",circle,x,y,black,y,white,x,x,orange,line in corner,white,1,lid down,circle,"ud, lr","lr, resize, app/dis",none,x,pro,up,close,white,blue,line with vertical oval,x,x,x,"height, width, ud, lr, resize",long,cen,x,x,x,x,x,x,white,arched (center),"down, flat, up",x,"ud, flatten/arch, flip",med,small,x,x,x,x,x,x,USA,2012
Scorpio Smartphone Robot,27,humanoid,entertainment,x,smart,y,x,y,y,x,x,"hair, glasses",ground,tabletop,black,x,x,rectangle - vert,large,y,none,area[bottom half],yellow,x,x,circle,x,y,black,y,black,x,x,x,x,x,x,lid down,circle,none,"lr, ud",none,x,small,up,medium,red,red,line,x,x,x,height,short,down,x,x,x,x,x,x,white,line,flat,y,flip,med,x,red,circle,large,cen,cen,x,Russia,2015
Stelarc,27,mechanical,art,y,blcd,y,y,x,y,x,y,x,ground,on mobile platform,blue,x,x,human,med,"vx,vy,vz","ud, lr",x,black,x,x,human eye,other h. eye shapes,x,x,y,blue,x,x,x,x,x,x,slit,x,none,none,none,x,pro,up,medium,blue,black,human,blue,x,x,"height, width",med,down,blue,human,y,large,cen,none,x,x,x,x,none,x,x,blue,3D,med,cen,cen,x,Australia,2006
Baxter (5),28,humanoid,research,x,touch,y,x,y,x,x,x,x,high,torso (on platform),white,no data,x,rectangle - horiz,small,"x,y",no data,no data,white,black,no data,vert oval,no data,y,black,x,x,x,x,x,x,white,1,no data,circle,no data,no data,no data,no data,small,raise,close,black,x,crescent,x,x,x,no data,med,down,x,x,x,x,x,none,black,arched (center),"down, flat, up",no data,none,short,med,x,x,x,x,x,x,USA,2014
Yumbo,28,humanoid,service,x,blcd,y,x,y,x,x,x,x,no data,upright mobile rectangle,white,x,x,rectangle - vert,small,"x, y, z",no data,no data,blue,x,x,vert oval,x,y,black,no data,no data,x,x,black,downturn line over eye,white,3,no data,vert oval,no data,no data,no data,no data,pro,raise,wide,black,black,crescent,x,x,x,no data,med,cen,x,x,x,x,x,none,black,arched (center),up,x,no data,med,small,x,x,x,x,x,x,Thailand,2011
FURo-Desk,29,mechanical,service,y,blcd,y,y,x,x,x,x,ears,low,tabletop,beige,x,x,rounded rectangle - vert,med,"x, y, vx, vy, vz",none,chest,white,black,x,human eye,x,y,black,x,x,y,black,x,x,x,x,lid down,circle,none,"lr, ud",none,x,pro,raise,medium,black,black,crescent,x,x,single rect,"width, height",med,down,red,nub,y,small,up,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Korea,2015
Rbot / Synergy SWAN,29,zoomorphic,service,x,smart,y,x,y,x,x,x,x,low,upright mobile semi-sphere,blue,x,x,rectangle - horiz,small,"y,z",none,"tele, area [left],
smart",white,black,no data,rounded triangle,,y,black,y,blue,x,x,x,x,x,x,lid down,oval,height,"lr, ud",none,x,small,raise,close,black,white,crescent,blue,x,x,height,long,down,x,x,x,x,x,none,black,arched (center),flat,x,none,med,small,x,x,x,x,x,x,Russia,2015
Troy,29,humanoid,research,x,blcd,y,y,y,x,x,x,x,low,tabletop,pink,x,x,rectangle - horiz,small,"x,y",none,x,white,x,x,circle,x,y,black,x,x,y,blue,x,x,x,x,x,circle,none,none,none,x,small,up,close,red,pink,open,red,x,x,none,long,down,pink,triangle,x,small,cen,none,brown,line,flat,x,"ud, flip",med,small,x,x,x,x,x,x,USA,2010
